,gender,ssc_percentage,ssc_board,hsc_percentage,hsc_board,hsc_subject,degree_percentage,undergrad_degree,work_experience,emp_test_percentage,specialisation,mba_percent,label
64,1,80.0,1,73.0,1,1,75.0,0,0,61.0,0,58.78,1
57,1,68.0,0,76.0,0,1,74.0,0,0,80.0,0,63.59,1
171,1,80.0,1,80.0,1,1,72.0,0,1,63.79,0,66.04,1
180,1,65.0,0,71.5,1,1,62.8,0,1,57.0,0,56.6,1
34,1,62.0,1,51.0,1,2,52.0,1,0,68.44,1,62.77,0
125,0,84.0,0,73.0,0,1,73.0,0,0,75.0,0,73.33,1
119,1,60.8,0,68.4,0,1,64.6,0,1,82.66,0,64.34,1
41,0,74.0,1,63.16,1,1,65.0,0,1,65.0,1,69.76,0
121,0,64.0,0,67.0,1,2,69.6,2,1,55.67,1,71.49,1
112,1,58.0,1,61.0,1,1,61.0,0,0,58.0,1,53.94,1
71,1,75.0,1,70.29,1,1,71.0,0,0,95.0,0,66.94,1
43,1,87.0,1,87.0,1,1,68.0,0,0,95.0,1,62.9,1
25,0,52.58,1,54.6,0,1,50.2,0,1,76.0,0,65.33,0
47,1,63.0,0,60.0,0,1,57.0,0,1,78.0,0,54.55,1
139,1,77.0,0,70.0,0,1,59.0,0,1,58.0,0,54.43,1
136,0,47.0,0,59.0,0,0,64.0,0,0,78.0,0,61.58,0
190,0,64.0,1,70.2,0,1,61.0,0,0,50.0,0,62.5,0
151,1,65.0,0,65.0,0,1,75.0,0,0,83.0,0,58.87,1
141,1,66.0,0,64.0,0,2,60.0,0,0,60.0,1,61.9,0
159,1,52.0,0,49.0,1,1,58.0,0,0,62.0,1,60.59,0
56,1,63.0,1,71.4,1,1,61.4,0,0,68.0,0,66.88,1
172,1,73.0,1,58.0,1,1,56.0,0,0,84.0,1,52.64,1
113,0,73.96,1,79.0,1,1,67.0,0,0,72.15,0,63.08,1
149,1,44.0,0,58.0,0,0,55.0,0,1,64.25,1,58.54,0
194,1,52.0,1,55.0,1,1,56.3,0,0,59.0,0,64.74,0
12,0,47.0,0,55.0,1,2,65.0,0,0,62.0,1,65.04,0
54,0,74.0,0,60.0,1,2,69.0,0,0,78.0,1,65.56,1
106,1,61.08,1,50.0,1,2,54.0,2,0,71.0,0,65.69,0
98,0,69.0,0,73.0,0,1,65.0,0,0,70.0,0,57.31,1
207,1,83.33,0,78.0,1,1,61.0,0,1,88.56,0,71.55,1
14,1,62.0,0,47.0,0,1,50.0,0,0,76.0,1,54.96,0
49,0,50.0,1,37.0,1,0,52.0,1,0,65.0,1,56.11,0
39,1,81.0,1,68.0,1,2,64.0,2,0,93.0,0,62.56,1
158,1,67.0,1,63.0,1,2,64.0,2,0,60.0,0,61.87,0
164,0,67.16,0,72.5,0,1,63.35,0,0,53.04,0,65.52,1
185,0,88.0,0,72.0,0,2,78.0,1,0,82.0,1,71.43,1
50,0,75.2,0,73.2,0,2,68.4,0,0,65.0,1,62.98,1
135,0,72.0,0,56.0,1,2,69.0,0,0,55.6,1,65.63,1
3,1,56.0,0,52.0,0,2,52.0,2,0,66.0,1,59.43,0
5,1,55.0,1,49.8,1,2,67.25,2,1,55.0,0,51.58,0
37,0,79.0,0,76.0,0,2,65.6,2,0,58.0,1,55.47,1
191,1,67.0,1,61.0,0,2,72.0,0,0,72.0,0,61.01,1
91,1,52.0,0,57.0,0,1,50.8,0,0,67.0,1,62.79,0
205,1,61.0,1,62.0,1,1,65.0,0,0,62.0,0,56.81,1
66,1,83.0,1,74.0,1,2,66.0,0,0,68.92,1,58.46,1
16,1,63.0,0,66.2,0,1,65.6,0,1,60.0,0,62.54,1
137,1,67.0,1,63.0,0,1,72.0,0,0,56.0,1,60.41,1
99,1,54.0,0,82.0,1,1,63.0,2,0,50.0,0,59.47,0
138,0,82.0,1,64.0,1,2,73.0,2,1,96.0,0,71.77,1
94,1,58.0,0,62.0,0,1,64.0,0,0,53.88,0,54.97,1
63,1,61.0,1,70.0,1,1,64.0,0,0,68.5,1,59.5,0
213,0,74.0,1,66.0,1,1,58.0,0,0,70.0,1,60.23,1
20,1,62.0,1,65.0,1,1,66.0,0,0,50.0,1,56.7,1
198,0,67.0,0,70.0,0,1,65.0,1,0,88.0,1,71.96,0
181,1,62.0,0,60.33,1,2,64.21,2,0,63.0,1,60.02,0
196,1,72.0,1,63.0,1,2,77.5,2,1,78.0,0,54.48,1
77,1,64.0,1,80.0,1,2,65.0,2,1,69.0,0,57.65,1
120,1,58.0,1,40.0,1,2,59.0,0,0,73.0,1,58.81,0
167,1,67.9,1,62.0,1,2,67.0,2,1,58.1,0,75.71,0
31,0,67.0,0,53.0,0,2,65.0,2,0,64.0,1,58.32,0
58,1,74.0,0,62.0,1,2,68.0,0,0,74.0,0,57.99,1
60,1,74.0,0,70.0,0,2,72.0,0,1,60.0,0,57.24,1
4,1,85.8,0,73.6,0,1,73.3,0,0,96.8,0,55.5,1
187,1,78.5,0,65.5,0,2,67.0,2,1,95.0,0,64.86,1
61,1,84.2,0,73.4,0,1,66.89,0,0,61.6,0,62.48,1
40,0,78.0,0,77.0,1,1,80.0,0,0,60.0,0,66.72,1
72,1,84.86,1,67.0,1,2,78.0,0,0,95.5,0,68.53,1
79,0,69.0,0,62.0,0,2,66.0,2,0,75.0,1,67.99,0
92,0,60.23,0,69.0,0,2,66.0,0,0,72.0,0,59.47,1
143,1,77.67,1,64.89,1,1,70.67,0,0,89.0,0,60.39,1
100,0,45.0,1,57.0,1,1,58.0,0,1,56.39,1,64.95,0
161,1,55.6,1,51.0,1,1,57.5,0,0,57.63,1,62.72,0
59,1,52.6,0,65.58,1,2,72.11,2,0,57.6,0,56.66,1
134,0,77.44,0,92.0,1,1,72.0,0,1,94.0,0,67.13,1
154,1,53.0,0,63.0,1,2,60.0,0,1,70.0,0,53.2,1
82,1,63.0,0,67.0,0,1,74.0,0,0,82.0,0,60.44,0
209,1,62.0,0,72.0,0,1,65.0,0,0,67.0,0,56.49,1
36,1,51.0,0,44.0,0,1,57.0,0,0,64.0,0,51.45,0
146,1,62.0,0,63.0,1,2,66.0,0,0,85.0,1,55.14,1
177,0,73.0,0,97.0,1,1,79.0,0,1,89.0,0,70.81,1
124,1,67.0,0,71.0,0,2,64.33,1,1,64.0,1,61.26,1
126,0,79.0,1,61.0,1,2,75.5,2,1,70.0,0,68.2,1
133,1,73.0,0,64.0,1,1,77.0,0,1,65.0,1,60.98,1
197,0,83.96,1,53.0,1,2,91.0,2,0,59.32,1,69.71,1
140,1,65.0,0,64.8,1,1,69.5,0,1,56.0,0,56.94,1
114,1,65.0,0,68.0,1,2,69.0,0,0,53.7,1,55.01,1
182,1,52.0,1,65.0,1,0,57.0,1,1,75.0,0,59.81,0
168,0,48.0,0,51.0,0,1,58.0,0,1,60.0,1,58.79,0
173,0,52.0,1,52.0,1,2,55.0,2,0,67.0,1,59.32,0
170,0,63.4,1,67.2,1,1,60.0,0,0,58.06,1,69.28,0
